AttributeType_NameHe,AttributeType_NameEn,AttributeType_IsActive,Value_He,Value_En,Value_IsActive
"מידות XS-XXL","Sizes XS-XXL",true,"XS","XS",true
"מידות XS-XXL","Sizes XS-XXL",true,"M","M",true
"מידות XS-XXL","Sizes XS-XXL",true,"L","L",true
"מידות XS-XXL","Sizes XS-XXL",true,"S","S",true
"מידות XS-XXL","Sizes XS-XXL",true,"XL","XL",true
"מידות XS-XXL","Sizes XS-XXL",true,"XXL","XXL",true
"מידות XS-XXL","Sizes XS-XXL",true,"XXXL","XXXL",true
"צבע","Color",true,"צהוב","Yellow",true
"צבע","Color",true,"ירוק","Green",true
"צבע","Color",true,"חום","Brown",true
"צבע","Color",true,"סגול","Purple",true
"צבע","Color",true,"אפור","Gray",true
"צבע","Color",true,"כחול","Blue",true
"צבע","Color",true,"שחור","Black",true
"צבע","Color",true,"אדום","Red",true
"צבע","Color",true,"ורוד","Pink",true
"צבע","Color",true,"לבן","White",true
"צבע","Color",true,"כתום","Orange",true
"כפפות עבודה","Work Gloves",true,"סיגנט","Signet",true
"כפפות עבודה","Work Gloves",true,"כפפות עבות","Heavy Duty Gloves",true
"כפפות עבודה","Work Gloves",true,"כפפות עבודה כבדות","Heavy Duty Gloves",true
"מאמ""ת חד פאזי","Single-Phase Circuit Breaker",true,"1X10","1X10",true
"מאמ""ת חד פאזי","Single-Phase Circuit Breaker",true,"1X20","1X20",true
"מאמ""ת חד פאזי","Single-Phase Circuit Breaker",true,"1X16","1X16",true
"מאמ""ת חד פאזי","Single-Phase Circuit Breaker",true,"1X25","1X25",true
"מאמ""ת חד פאזי","Single-Phase Circuit Breaker",true,"1X32","1X32",true
"אזיקונים לקשירה","Cable Ties",true,"10 ס""מ","10cm",true
"אזיקונים לקשירה","Cable Ties",true,"20 ס""מ","20 cm",true
"אזיקונים לקשירה","Cable Ties",true,"ס""מ 30","cm 30",true
"ברז PVC","PVC Valve",true,"1/2","1/2",true
"ברז PVC","PVC Valve",true,"3/4","3/4",true
"ברז גן","Garden Faucet",true,"1/2","1/2",true
"ברז גן","Garden Faucet",true,"3/4","3/4",true
"ברז מעבר","Adapter Valve",true,"1.5","1.5",true
"ברז מעבר","Adapter Valve",true,"2","2",true
"ברז מעבר","Adapter Valve",true,"1/2","1/2",true
"ברז מעבר","Adapter Valve",true,"3/4","3/4",true
"זוית פלסטיק","Plastic Elbow",true,"1/2","1/2",true
"זוית פלסטיק","Plastic Elbow",true,"3/4","3/4",true
"זוית פלסטיק","Plastic Elbow",true,"1","1",true
"זוית פלסטיק 16","Plastic Elbow 16",true,"16-16","16-16",true
"זוית פלסטיק 16","Plastic Elbow 16",true,"פנים 16-""3/4","16-3/4"" Male",true
"זוית פלסטיק 20","Plastic Elbow 20",true,"20-20","20-20",true
"זוית פלסטיק 20","Plastic Elbow 20",true,"פנים 20-""3/4","20-3/4"" Male",true
"זוית פלסטיק 20","Plastic Elbow 20",true,"חוץ 20-3/4","20-3/4""  Female",true
"זוית פלסטיק 25","Plastic Elbow 25",true,"25-25","25-25",true
"זוית פלסטיק 25","Plastic Elbow 25",true,"25-3/4"" פנים","25-3/4"" Male",true
"זוית פלסטיק 25","Plastic Elbow 25",true,"25-""3/4 חוץ","25-""3/4 Female",true
"טונר למדפסת שחור","Black Printer Toner",true,"SAMSUNG SCX-5835","SAMSUNG SCX-5835",true
"טונר למדפסת שחור","Black Printer Toner",true,"SAMSUNG  CLX-6260","SAMSUNG ֺCLX-6260",true
"טונר למדפסת שחור","Black Printer Toner",true,"SAMSUNG M3870","SAMSUNG M3870",true
"טונר למדפסת שחור","Black Printer Toner",true,"SAMSUNG CLX-6260","SAMSUNG CLX-6260",true
"טי מתכת מגלוון","Galvanized Metal Tee",true,"1/2","1/2",true
"טי מתכת מגלוון","Galvanized Metal Tee",true,"3/4","3/4",true
"טי מתכת מגלוון","Galvanized Metal Tee",true,"1","1",true
"טי פלסטיק","Plastic Tee",true,"1/2","1/2",true
"טי פלסטיק","Plastic Tee",true,"3/4","3/4",true
"טי פלסטיק","Plastic Tee",true,"1","1",true
"טי פלסטיק 16","Plastic Tee 16",true,"16-16-16","16-16-16",true
"טי פלסטיק 16","Plastic Tee 16",true,"16-16-3/4 זכר","16-16-3/4 Male",true
"טי פלסטיק 16","Plastic Tee 16",true,"16-16-3/4 נקבה","16-16-3/4 Female",true
"טי פלסטיק 20","Plastic Tee 20",true,"20-20-20","20-20-20",true
"טי פלסטיק 20","Plastic Tee 20",true,"20-20-3/4 זכר","20-20-3/4 Male",true
"טי פלסטיק 20","Plastic Tee 20",true,"20-20-3/4 נקבה","20-20-3/4 Female",true
"טי פלסטיק 25","Plastic Tee 25",true,"25-25-25","25-25-25",true
"טי פלסטיק 25","Plastic Tee 25",true,"25-25-3/4 זכר","25-25-3/4 Male",true
"טי פלסטיק 25","Plastic Tee 25",true,"25-25-3/4 נקבה","25-25-3/4 Female",true
