sku,attributetypeid,attributevalueid
000000000002000035,1,4
000000000002000035,1,2
000000000002000035,1,3
000000000002000024,2,17
000000000002000024,2,15
000000000002000465,30,115
000000000002000465,30,116
000000000002001111,5,27
000000000002001111,5,28
000000000002001111,5,29
000000000002001985,2,8
000000000002001985,2,9
000000000002001985,2,10
000000000002001985,2,11
000000000002001985,2,12
000000000002001985,2,13
000000000002001985,2,14
000000000002001985,2,15
000000000002001985,2,16
000000000002001985,2,17
000000000002001985,2,18
000000000002002263,1,2
000000000002002263,1,3
000000000002002263,1,5
000000000002002280,3,19
000000000002002280,3,20
000000000002004356,2,13
000000000002004356,2,14
000000000002004356,2,16
000000000002004356,2,8
000000000002004356,2,17
000000000002004356,2,18
000000000002004430,1,3
000000000002004430,1,5
000000000002006729,1,4
000000000002006729,1,2
000000000002006729,1,3
000000000002006729,1,5
000000000002006729,1,6
000000000002008561,9,38
000000000002008561,9,39
000000000002008561,9,40
