sku,attributetypeid,ismandatory,createddate,createdby
000000000002000035,1,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002000024,2,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002000465,30,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002001111,5,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002001985,2,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002002263,1,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002002280,3,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002004356,2,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002004430,1,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002006729,1,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
000000000002008561,9,TRUE,2026-06-02 11:20:00+03,svetlana.chr@agri.gov.il
