Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002000024,מושב לאסלה,12,54.27,יח,2,מושב לאסלה,1,,,11,9/19/2019
000000000002000035,חולצה עבודה פשוטה,30,37.15,יח,1,חולצה עבודה פשוטה,32,,,10,9/19/2019
000000000002000042,ניאגרה,4,265.23,יח,2,ניאגרה,1,,,2,9/19/2019
000000000002000044,פנקס לכרטיס ביקור,0,4.32,יח,13,פנקס לכרטיס ביקור,1,,,1,9/19/2019
000000000002000056,מספריים משרדיות,60,1.48,יחידה,12,מספריים משרדיות,1,,,,
000000000002000057,גומיות משרדיות,0,2.1,חב,15,גומיות משרדיות,19,,,67,9/19/2019
000000000002000060,לחצן מתקפל 25/41 ממ שחור מחיר לבודד,16,7.91,יח,13,לחצן מתקפל 25/41 ממ שחור מחיר לבודד,19,,,,
000000000002000063,דיו לחותמות,0,18.67,יח,12,דיו לחותמות,19,,,3,9/19/2019
000000000002000064,חוט הדלייה,8,94,גליל,19,חוט הדלייה,1,,,0,9/19/2019
000000000002000070,ערכת עזרה ראשונה,7,216.33,יח,25,ערכת עזרה ראשונה,1,,,,
000000000002000072,סל אשפה 25 ליטר,0,32.84,יח,25,סל אשפה 25 ליטר,1,,,0,9/19/2019
000000000002000073,נייר טישו,573,2.25,חב,11,נייר טישו,1,,,345,9/19/2019
000000000002000075,מפיות נייר,113,5.07,חב,25,מפיות נייר,21,,,155,9/19/2019
000000000002000077,נייר מושב לאסלה,78,14.04,חב,25,נייר מושב לאסלה,1,,,,
000000000002000081,"מגב 40 ס""מ",45,11.74,יח,25,"מגב 40 ס""מ",1,,,37,9/19/2019
000000000002000083,מטאטא משרדי,13,9.98,יח,25,מטאטא משרדי,21,,,5,9/19/2019
000000000002000084,יעה,36,6.8,יח,25,יעה,21,,,69,9/19/2019
000000000002000091,מטהר אויר ריחני - ספריי,30,9.36,יח,25,מטהר אויר ריחני - ספריי,21,,,68,9/19/2019
000000000002000097,נייר טואלט,43,38.76,חב,25,נייר טואלט,1,,,114,9/19/2019
000000000002000101,טוש עבה אדום/ירוק/כחול,0,1.86,יח,12,טוש עבה אדום/ירוק/כחול,19,,,135,9/19/2019
000000000002000102,חומר ניקוי למסך,0,29.22,יח,13,חומר ניקוי למסך,1,,,10,9/19/2019
000000000002000105,נוזל לניקוי שמשות,34,6.97,יח,25,נוזל לניקוי שמשות,1,,,41,9/19/2019
000000000002000106,נוזל לניקוי רצפות,21,15.6,יח,25,נוזל לניקוי רצפות,1,,,45,9/19/2019
000000000002000110,עטים (כל הסוגים) לציין צבע ו0.5-0.7 וכו.,3128,2.45,יחידה,13,עטים (כל הסוגים) לציין צבע ו0.5-0.7 וכו.,1,,,,
000000000002000121,טבליות למדיח כלים,29,38.51,יח,25,טבליות למדיח כלים,21,,,38,9/19/2019
000000000002000125,סבון נוזלי,0,26.44,יח,25,סבון נוזלי,1,,,76,9/19/2019
000000000002000126,סבון רחצה,25,3.3,יח,8,סבון רחצה,1,,,50,9/19/2019
000000000002000135,מנורת שולחן,3,70.81,יח,18,מנורת שולחן,1,,,,
000000000002000142,קומקום חשמלי,5,89.68,יח,18,קומקום חשמלי,1,,,4,9/19/2019
000000000002000158,דלי 3 ליטר כולל מכסה,0,4.56,יחידה,25,דלי 3 ליטר כולל מכסה,1,,,,
000000000002000159,מטלית ניקוי / סחבה לבנה,655,1.3,יח,25,מטלית ניקוי / סחבה לבנה,21,,,255,9/19/2019
000000000002000169,סקוטש / כרית ניקוי/ברזלית,1058,1.19,יח,25,סקוטש / כרית ניקוי/ברזלית,21,,,,
000000000002000175,פלסטר -אגד מדבק ביחידה,743,0.17,יחידה,1,פלסטר -אגד מדבק ביחידה,1,,,,
000000000002000179,תיק הגשה שקוף צבעוני,0,0.5,יח,13,תיק הגשה שקוף צבעוני,1,,,847,9/19/2019
000000000002000210,תקליטור DVD,0,16.66,יח,12,תקליטור DVD,1,,,0,9/19/2019
000000000002000225,רמקול למחשב,7,64.9,יח,11,רמקול למחשב,1,,,0,9/19/2019
000000000002000226,סרט בידוד - איזולירבנד,118,2.26,יח,18,סרט בידוד - איזולירבנד,1,,,184,9/19/2019
000000000002000229,נורה ליבון 60W,3,2.22,יח,18,נורה ליבון 60W,1,,,87,9/19/2019
000000000002000231,עכבר חוטי למחשב,0,30.68,יח,12,עכבר חוטי למחשב,1,,,48,9/19/2019
000000000002000233,מקלדת חוטית למחשב,0,70.2,יח,12,מקלדת חוטית למחשב,27,,,3,9/19/2019
000000000002000238,תקליטור CD,0,17.22,יח,12,תקליטור CD,1,,,0,9/19/2019
000000000002000241,פח אשפה 50 ליטר,29,44.06,יח,25,פח אשפה 50 ליטר,1,,,26,9/19/2019
000000000002000258,כוס חד פעמית ליין,179,2.24,יח,14,כוס חד פעמית ליין,24,,,110,9/19/2019
000000000002000260,כבל רשת,11,9.44,יח,11,כבל רשת,27,,,18,9/19/2019
000000000002000265,מגבונים לחים,222,2.48,יח,11,מגבונים לחים,21,,,493,9/19/2019
000000000002000282,צמר-גפן,211,4.61,יח,11,צמר-גפן,1,,,156,9/19/2019
000000000002000284,שטיחון לדלת  מחצלת,14,27.14,יח,25,שטיחון לדלת  מחצלת,1,,,0,9/19/2019
000000000002000327,סכין אכילה,6,9.91,יח,15,סכין אכילה,1,,,,
000000000002000332,מפת שולחן,0,66.05,יח,25,מפת שולחן,1,,,4,9/19/2019
000000000002000342,מחק,415,1.13,יח,13,מחק,19,,,912,9/19/2019
000000000002000361,רדיד אלומניום דק קטן,94,9.69,יח,8,רדיד אלומניום דק קטן,1,,,296,9/19/2019
000000000002000362,מטר - סרט מדידה 5 מ,20,10.58,יח,25,מטר - סרט מדידה 5 מ,30,,,23,9/19/2019
000000000002000363,מלכודת  עכברים   מנהרה,0,18.59,יח,3,מלכודת  עכברים   מנהרה,1,,,0,9/19/2019
000000000002000365,סרט אריזה שקוף,70,6.27,יח,13,סרט אריזה שקוף,19,,,,
000000000002000367,מכשיר לאריזה,0,9.03,יח,1,מכשיר לאריזה,1,,,3,9/19/2019
000000000002000369,ניילון נצמד קטן,46,4.01,יח,8,ניילון נצמד קטן,1,,,91,9/19/2019
000000000002000371,כוס חד פעמית לשתיה חמה,0,8.19,יח,14,כוס חד פעמית לשתיה חמה,33,,,1511,9/19/2019
000000000002000372,כוס חד פעמית לשתיה קרה,0,7.02,יח,14,כוס חד פעמית לשתיה קרה,33,,,956,9/19/2019
000000000002000381,כפית חד פעמית,0,3.25,יח,14,כפית חד פעמית,33,,,386,9/19/2019
000000000002000382,כף חד פעמית,0,4.91,יח,14,כף חד פעמית,33,,,0,9/19/2019
000000000002000383,מזלג חד פעמי,0,5.02,יח,14,מזלג חד פעמי,33,,,163,9/19/2019
000000000002000384,סכין חד פעמית,290,3.64,יח,14,סכין חד פעמית,1,,,11,9/19/2019
000000000002000386,שדכן קטן,0,7.3,יח,15,שדכן קטן,1,,,0,9/19/2019
000000000002000389,צלחת חד פעמית קטנה/גדולה,0,3.68,יח,14,צלחת חד פעמית קטנה/גדולה,1,,,417,9/19/2019
000000000002000393,מרקיה חד פעמית,0,2.46,חבילה,14,מרקיה חד פעמית,25,,,180,9/19/2019
000000000002000409,סרט דיו למכונת חיוב,11,1.33,יח,15,סרט דיו למכונת חיוב,1,,,21,9/19/2019
000000000002000442,מתקן לנייר גלילי,1,84.24,יח,1,מתקן לנייר גלילי,1,,,5,9/19/2019
000000000002000443,מתקן לסבון נוזלי,0,28.4,יח,1,מתקן לסבון נוזלי,1,,,2,9/19/2019
000000000002000458,חלב עמיד,231,9.2,יח,15,חלב עמיד,25,,,135,9/19/2019
000000000002000459,סוכר לבן 1 קג.,200,6.32,יחידה,15,סוכר לבן 1 קג.,1,,,,
000000000002000460,סוכרזית,18,17.34,יח,14,סוכרזית,25,,,,
000000000002000461,תקע חשמלי,64,2.33,יח,17,תקע חשמלי,1,,,32,9/19/2019
000000000002000463,סטרטר לפלורסנט 36W/טורי,276,1.83,יח,17,סטרטר לפלורסנט 36W/טורי,1,,,114,9/19/2019
000000000002000464,כבל מאריך חשמלי 5 מ,11,25.96,יח,17,כבל מאריך חשמלי 5 מ,22,,,12,9/19/2019
000000000002000465,מפצל חשמל 2 שקעים/3 שקעים,15,7.43,יח,17,מפצל חשמל 2 שקעים/3 שקעים,22,,,28,9/19/2019
000000000002000471,גליל נייר למכונת חישוב,0,0.93,יח,15,גליל נייר למכונת חישוב,19,,,0,9/19/2019
000000000002000496,מברשת פלדה,2,13.87,יח,2,מברשת פלדה,30,,,8,9/19/2019
000000000002000515,מנעול צילינדר לדלת עץ,24,26.66,יח,2,מנעול צילינדר לדלת עץ,1,,,29,9/19/2019
000000000002000522,קורא כרטיסים חכם,48,64.56,יח,11,קורא כרטיסים חכם,1,,,50,9/19/2019
000000000002000533,צבע אנטירוסט אפור גלון 5 ליטר,0,84.24,יחידה,2,צבע אנטירוסט אפור גלון 5 ליטר,1,,,2,9/19/2019
000000000002000537,צילינדר לדלת,28,42.87,יח,2,צילינדר לדלת,1,,,13,9/19/2019
000000000002000538,דיבל,20,4.72,יח,17,דיבל,30,,,80,9/19/2019
000000000002000594,מתקן מעמד לסלוטייפ  מסקינטייפ שולחני,0,4.11,יחידה,12,מתקן מעמד לסלוטייפ  מסקינטייפ שולחני,1,,,,
000000000002000613,מילוי ליומן,12,6.23,יח,13,מילוי ליומן,19,,,12,9/19/2019
000000000002000700,מאוורר שולחן,0,205.32,יח,21,מאוורר שולחן,1,,,0,9/19/2019
000000000002000702,מפזר חום,0,65.02,יח,17,מפזר חום,1,,,0,9/19/2019
000000000002000708,תנור חימום חשמלי,4,123.31,יח,17,תנור חימום חשמלי,1,,,19,9/19/2019
000000000002000813,מהדק חשמל מס 1 (מחיר לשורה 12 יח),22,2.06,יח,18,מהדק חשמל מס 1 (מחיר לשורה 12 יח),22,,,250,9/19/2019
000000000002000815,מפסק טוגל,6,9.63,יח,17,מפסק טוגל,22,,,35,9/19/2019
000000000002000833,מגנט  10-40,59,9.74,יח,11,מגנט  10-40,24,,,119,9/19/2019
000000000002000835,מגש למזון,72,16.4,יח,2,מגש למזון,1,,,9,9/19/2019
000000000002000851,מזמרה רגילה,27,33.38,יח,10,מזמרה רגילה,31,,,57,9/19/2019
000000000002000858,מחט רפואית,42,10.06,חב,9,מחט רפואית,24,,,78,9/19/2019
000000000002000864,מחשב להפעלה חקלאית,0,669.09,יח,19,מחשב להפעלה חקלאית,31,,,2,9/19/2019
000000000002000865,מטחנת קפה,5,261.17,יח,2,מטחנת קפה,24,,,0,9/19/2019
000000000002001111,אזיקונים -100/200/300,27,8.37,חבילה,3,אזיקונים -100/200/300,1,,,24,9/19/2019
000000000002001113,אזיקונים לקשירה 50 סמ,0,31.92,יח,3,אזיקונים לקשירה 50 סמ,1,,,19,9/19/2019
000000000002001133,חוט אריזה פשתן דק 2500/2,26,5.56,גלי,19,חוט אריזה פשתן דק 2500/2,1,,,92,9/19/2019
000000000002001176,גריז בשפורפרת,7,35.4,יח,8,גריז בשפורפרת,1,,,7,9/19/2019
000000000002001272,קליפסים לבנדים,196,1.58,יח,19,קליפסים לבנדים,1,,,312,9/19/2019
000000000002001287,שקיות ניילון LD,177,16.88,חב,10,שקיות ניילון LD,1,,,235,9/19/2019
000000000002001308,ט:1220-מעטפות לבנות 11/22,0,10,יח,15,ט:1220-מעטפות לבנות 11/22,19,,,13,9/19/2019
000000000002001309,ט:1230-מעטפות 11.4/16.2,0,10,יח,15,ט:1230-מעטפות 11.4/16.2,19,,,0,9/19/2019
000000000002001310,ט:1235-מעטפות דואר אויר 11/22,0,1,יח,15,ט:1235-מעטפות דואר אויר 11/22,19,,,0,9/19/2019
000000000002001363,ט:2420 - אישור יציאה בתפקיד,19,5.5,יח,13,ט:2420 - אישור יציאה בתפקיד,19,,,19,9/19/2019
000000000002001366,ט:2450-בקשה לחופשה/הודעה על העדרות,67,2.5,יח,13,ט:2450-בקשה לחופשה/הודעה על העדרות,19,,,67,9/19/2019
000000000002001454,ט:4320-ספר קופה הוצאות דמי מחזור,7,35,יח,13,ט:4320-ספר קופה הוצאות דמי מחזור,19,,,7,9/19/2019
000000000002001458,ט:4540-הוראת תשלום מקופה קטנה,17,11.5,יח,14,ט:4540-הוראת תשלום מקופה קטנה,19,,,12,9/19/2019
000000000002001527,אטם גומי  1 צול  צול  וחצי  שני צול,31,2.22,חבילה,19,אטם גומי  1 צול  צול  וחצי  שני צול,1,,,,
000000000002001537,מלח למדיח כלים,5,14.16,יח,25,מלח למדיח כלים,21,,,25,9/19/2019
000000000002001545,בורג סיבית ,0,11.23,חבילה,0,בורג סיבית ,1,,,,
000000000002001553,משור גבהים כולל סטופר,6,135.08,יח,10,משור גבהים כולל סטופר,30,,,5,9/19/2019
000000000002001554,מסוריות,26,6.83,יח,2,מסוריות,30,,,40,9/19/2019
000000000002001558,מסמר,4,4.68,יח,19,מסמר,30,,,8,9/19/2019
000000000002001563,מסננת לכיור,0,5.68,יח,25,מסננת לכיור,1,,,0,9/19/2019
000000000002001565,מספריים טכניות,62,18.16,יח,15,מספריים טכניות,30,,,74,9/19/2019
